asset_id,hostname,asset_type,ip_address,os,criticality,environment,status
142,asset-0142,Workstation,10.71.130.201,Alpine Linux,Critical,Development,Offline
143,asset-0143,Workstation,10.37.172.67,RHEL 9,Low,DMZ,Maintenance
144,asset-0144,Database Server,10.154.219.71,RHEL 9,Critical,Staging,Online
145,asset-0145,API Gateway,10.94.16.33,Debian 12,Medium,Development,Online
146,asset-0146,Server,10.20.148.218,FreeBSD 14,Low,Staging,Maintenance
147,asset-0147,Firewall,10.27.166.187,Debian 12,Critical,Development,Offline
148,asset-0148,Web Server,10.188.144.215,Ubuntu 22.04,Low,Staging,Online
149,asset-0149,Switch,10.245.149.123,Debian 12,High,Production,Online
150,asset-0150,Firewall,10.238.60.216,Alpine Linux,High,Production,Online
151,asset-0151,Workstation,10.213.23.20,Debian 12,Critical,Development,Offline
152,asset-0152,Switch,10.189.232.84,FreeBSD 14,Critical,Production,Online
153,asset-0153,Router,10.31.120.186,Debian 12,Medium,DMZ,Offline
154,asset-0154,Server,10.200.141.24,CentOS 8,High,Production,Maintenance
155,asset-0155,Database Server,10.172.74.218,Windows 11,High,DMZ,Maintenance
156,asset-0156,Switch,10.217.33.8,Ubuntu 22.04,Medium,Development,Online
157,asset-0157,Load Balancer,10.1.153.67,Windows Server 2022,Critical,Production,Offline
158,asset-0158,API Gateway,10.114.28.227,macOS Sonoma,Medium,Development,Maintenance
159,asset-0159,Load Balancer,10.150.58.77,Windows Server 2022,Medium,Development,Offline
160,asset-0160,Firewall,10.125.17.253,Windows 11,High,DMZ,Online
161,asset-0161,Database Server,10.114.9.90,Windows Server 2022,Medium,Staging,Offline
162,asset-0162,Switch,10.67.222.70,RHEL 9,Medium,Staging,Maintenance
163,asset-0163,Workstation,10.57.141.95,Windows 11,High,Production,Maintenance
164,asset-0164,API Gateway,10.5.200.19,CentOS 8,Medium,DMZ,Offline
165,asset-0165,Load Balancer,10.195.175.209,Alpine Linux,Critical,DMZ,Offline
166,asset-0166,Server,10.58.155.85,Ubuntu 22.04,Critical,DMZ,Online
167,asset-0167,Router,10.66.52.109,Amazon Linux 2,Low,Development,Maintenance
168,asset-0168,Router,10.217.228.182,Debian 12,Low,Production,Online
169,asset-0169,Workstation,10.73.189.221,Ubuntu 22.04,Low,Development,Online
170,asset-0170,API Gateway,10.92.6.144,macOS Sonoma,High,DMZ,Offline
171,asset-0171,Router,10.185.216.248,CentOS 8,Critical,Production,Offline
172,asset-0172,Load Balancer,10.216.82.77,Windows 11,Critical,Development,Offline
173,asset-0173,Database Server,10.232.166.186,Windows 11,Medium,Staging,Online
174,asset-0174,Load Balancer,10.211.252.234,CentOS 8,Critical,Staging,Maintenance
175,asset-0175,Database Server,10.148.117.4,Ubuntu 22.04,Low,Staging,Online
176,asset-0176,Load Balancer,10.116.137.37,macOS Sonoma,Critical,Staging,Offline
177,asset-0177,Web Server,10.191.88.24,CentOS 8,Medium,Production,Online
178,asset-0178,Workstation,10.8.7.47,Ubuntu 22.04,High,DMZ,Offline
179,asset-0179,Router,10.27.249.215,Alpine Linux,Critical,DMZ,Online
180,asset-0180,Workstation,10.213.54.236,Ubuntu 22.04,High,DMZ,Online
181,asset-0181,Router,10.234.124.182,macOS Sonoma,High,DMZ,Maintenance
182,asset-0182,Workstation,10.67.7.196,Ubuntu 22.04,High,Production,Offline
183,asset-0183,Web Server,10.73.171.57,macOS Sonoma,Low,Development,Online
184,asset-0184,Load Balancer,10.63.15.52,Debian 12,Critical,Staging,Offline
185,asset-0185,Load Balancer,10.178.51.97,Windows Server 2022,High,Staging,Online
186,asset-0186,Server,10.28.135.12,Ubuntu 22.04,High,Staging,Online
187,asset-0187,Server,10.214.66.50,FreeBSD 14,High,Development,Online
188,asset-0188,API Gateway,10.204.17.126,Debian 12,Low,Development,Offline
189,asset-0189,IoT Device,10.151.76.129,RHEL 9,High,Staging,Online
190,asset-0190,Server,10.71.73.251,Windows 11,High,Development,Maintenance
191,asset-0191,Router,10.83.239.197,Alpine Linux,Medium,DMZ,Offline
192,asset-0192,Load Balancer,10.49.7.243,Amazon Linux 2,Low,Production,Maintenance
193,asset-0193,API Gateway,10.139.197.245,Windows Server 2022,Critical,Development,Online
194,asset-0194,Firewall,10.119.146.227,CentOS 8,High,Development,Offline
195,asset-0195,Switch,10.108.64.250,macOS Sonoma,Critical,Development,Online
196,asset-0196,Firewall,10.230.143.120,Windows 11,Medium,Staging,Offline
197,asset-0197,Workstation,10.140.230.241,macOS Sonoma,Low,Staging,Online
198,asset-0198,Router,10.208.14.84,Windows Server 2022,Low,Production,Maintenance
199,asset-0199,Switch,10.127.202.91,Ubuntu 22.04,Critical,DMZ,Maintenance
200,asset-0200,Router,10.38.19.218,macOS Sonoma,Medium,DMZ,Offline
